notification_id,patient_id,channel,type,message,sent_at,status
NTF0000001,PTNC311,SMS,Promotion,Deleniti similique totam similique voluptatum perferendis laboriosam rerum vero dolorum quod atque aliquid.,2025-07-25 10:22:39,Delivered
NTF0000002,PTNM092,SMS,Promotion,Eos porro corrupti ex alias explicabo suscipit nisi eligendi.,2026-04-21 10:23:08,Pending
NTF0000003,PTNT274,SMS,FollowUp,Blanditiis tempora laudantium doloribus natus illo consectetur accusamus.,2025-06-16 12:02:02,Delivered
NTF0000004,PTNC395,Email,Promotion,Recusandae cum nihil minima beatae ex deserunt magni expedita ipsam reprehenderit consequatur.,2026-03-30 06:30:13,Delivered
NTF0000005,PTNT010,SMS,FollowUp,Quo molestiae quasi temporibus culpa sapiente repellendus omnis ipsam necessitatibus sint.,2025-08-25 03:59:30,Delivered
NTF0000006,PTNTJ213,Email,PaymentDue,Neque distinctio recusandae nemo exercitationem ut id culpa veniam eius omnis consequuntur inventore.,2025-11-07 07:38:37,Delivered
NTF0000007,PTNH332,Push,FollowUp,Vero illum optio laudantium error quidem modi molestiae nemo expedita repellat assumenda.,2025-06-21 20:38:31,Delivered
NTF0000008,PTNTJ487,Email,PaymentDue,Ea dolores debitis debitis aliquid ducimus cupiditate libero ut.,2025-08-24 17:27:29,Delivered
NTF0000009,PTNC394,WhatsApp,PaymentDue,Necessitatibus eum dolorem perferendis quaerat unde consectetur in nisi sit deserunt occaecati.,2026-02-06 16:08:01,Delivered
NTF0000010,PTNC428,Push,FollowUp,Soluta porro quidem quod voluptatibus qui nostrum.,2026-03-16 11:46:43,Delivered
NTF0000011,PTNCB008,Push,AppointmentReminder,Corrupti sed nulla impedit officiis voluptate consequatur harum quam expedita excepturi.,2025-10-01 06:50:17,Delivered
NTF0000012,PTNC465,WhatsApp,PaymentDue,Fugiat amet iste excepturi placeat veniam rem aspernatur rem officia.,2026-04-24 20:33:57,Delivered
NTF0000013,PTNE319,WhatsApp,AppointmentReminder,Provident occaecati aut corrupti autem consequatur deserunt soluta.,2026-01-02 00:26:11,Delivered
NTF0000014,PTNT493,Email,ReportReady,Laudantium minus quam possimus maiores magnam necessitatibus quibusdam in.,2025-11-09 06:39:45,Delivered
NTF0000015,PTNTJ376,SMS,Promotion,Ducimus laudantium commodi adipisci consectetur fuga minus consequuntur id nulla ab.,2025-10-18 14:24:58,Delivered
NTF0000016,PTNTN003,WhatsApp,ReportReady,Eius occaecati sunt quae nulla nesciunt quae numquam.,2025-10-08 00:51:01,Delivered
NTF0000017,PTNTN132,Push,Promotion,Nobis praesentium nemo facilis animi laudantium officia alias libero.,2025-11-06 02:24:44,Delivered
NTF0000018,PTNCB240,Push,AppointmentReminder,Facilis quibusdam ab animi ipsam voluptas aliquam.,2025-10-28 23:38:45,Delivered
NTF0000019,PTNM012,Email,Promotion,Cum distinctio quo repellat incidunt tempore iste temporibus reiciendis id commodi exercitationem totam.,2025-08-17 12:32:47,Delivered
NTF0000020,PTNS464,Email,AppointmentReminder,Deserunt eos minima vero nihil quo minus quos corrupti eligendi velit.,2026-04-07 07:59:26,Delivered
NTF0000021,PTNM392,SMS,ReportReady,Magnam non rem quidem harum velit.,2025-08-28 06:32:49,Delivered
NTF0000022,PTNM449,Email,PaymentDue,Porro delectus voluptate porro ipsa excepturi illo.,2026-01-10 23:17:39,Delivered
NTF0000023,PTNV154,Push,FollowUp,Ipsa qui quaerat corrupti ratione unde.,2026-01-29 09:06:51,Delivered
NTF0000024,PTNM475,SMS,VaccinationDue,Odit cupiditate accusamus minima earum ullam nemo dignissimos explicabo corrupti quibusdam.,2026-04-17 04:20:16,Delivered
NTF0000025,PTNV375,Email,PaymentDue,Suscipit accusantium omnis ab praesentium sequi quod eius alias.,2026-04-17 13:38:09,Delivered
NTF0000026,PTNE347,Push,PaymentDue,Ea fuga beatae voluptas illo magnam illo harum fuga.,2025-10-12 04:57:06,Delivered
NTF0000027,PTNT469,Push,Promotion,Voluptatem sequi dolores laborum illum distinctio quo ducimus repellat blanditiis amet adipisci.,2025-10-10 00:35:21,Delivered
NTF0000028,PTNE074,Push,Promotion,Quaerat voluptatum animi sint occaecati doloremque totam temporibus animi nam quidem consectetur optio.,2025-06-18 04:34:47,Delivered
NTF0000029,PTNE456,WhatsApp,PaymentDue,Saepe officia voluptas et consectetur quo quae quae deleniti nisi voluptates repudiandae.,2026-06-11 19:22:38,Delivered
NTF0000030,PTNV493,Email,Promotion,Magni reprehenderit velit possimus quae molestias omnis nemo assumenda soluta et debitis voluptas.,2025-12-04 12:42:21,Delivered
NTF0000031,PTNCB107,SMS,AppointmentReminder,Numquam accusamus voluptatem amet sequi saepe fugit quos voluptatibus.,2025-10-04 13:58:51,Delivered
NTF0000032,PTNM237,WhatsApp,Promotion,Vero unde laborum animi quae explicabo quasi ipsa.,2026-05-20 04:15:21,Delivered
NTF0000033,PTNTJ010,SMS,VaccinationDue,Totam labore recusandae doloribus corporis natus consectetur dolores voluptas ex quas voluptas consectetur.,2025-11-10 10:11:35,Delivered
NTF0000034,PTNT178,Push,AppointmentReminder,Ducimus tenetur earum commodi possimus expedita.,2026-04-17 07:52:52,Delivered
NTF0000035,PTNE099,WhatsApp,ReportReady,Est unde a veniam minima inventore minus molestias dolorem hic perferendis earum enim.,2025-11-13 16:51:39,Delivered
NTF0000036,PTNT152,WhatsApp,ReportReady,Magni natus aliquid ipsum minus atque nisi nulla laboriosam cum beatae ratione.,2025-08-16 19:25:22,Delivered
NTF0000037,PTNV148,Email,FollowUp,Neque debitis exercitationem aspernatur beatae placeat illo esse.,2026-01-20 11:53:55,Delivered
NTF0000038,PTNV033,Push,ReportReady,Repellat officia est odio quas odio rerum maiores expedita incidunt ducimus reiciendis id.,2025-07-22 08:06:06,Delivered
NTF0000039,PTNC204,Email,FollowUp,Temporibus provident eos sequi excepturi illo dolor.,2026-01-30 12:07:12,Delivered
NTF0000040,PTNV252,WhatsApp,PaymentDue,Vel id eveniet laboriosam fuga voluptas dicta voluptates ex nisi velit ullam qui.,2025-08-21 15:06:49,Delivered
NTF0000041,PTNC344,Email,Promotion,Sunt quas illum atque ipsa veritatis quas neque earum ea expedita eos ullam.,2026-03-15 06:25:17,Delivered
NTF0000042,PTNT308,WhatsApp,VaccinationDue,Iste repudiandae eos quis consequatur molestiae illum modi laborum modi.,2025-10-16 00:22:23,Delivered
NTF0000043,PTNC260,Email,AppointmentReminder,Labore quia eligendi quisquam iusto fugiat pariatur id adipisci quam accusamus.,2026-04-01 06:44:11,Delivered
NTF0000044,PTNE020,WhatsApp,ReportReady,Eligendi itaque ea consequatur temporibus vel dignissimos eaque repellendus provident expedita occaecati et.,2026-02-07 01:07:01,Delivered
NTF0000045,PTNC130,WhatsApp,AppointmentReminder,Aliquam nihil sunt deleniti exercitationem facere blanditiis voluptatem iure quisquam ut.,2025-09-09 21:05:16,Delivered
NTF0000046,PTNH039,Email,Promotion,Expedita laboriosam veritatis placeat atque quos modi occaecati aspernatur.,2025-07-05 01:26:55,Delivered
NTF0000047,PTNC030,SMS,VaccinationDue,Incidunt possimus minima inventore maiores architecto omnis maxime sequi aliquid architecto.,2025-12-24 20:13:06,Delivered
NTF0000048,PTNE499,Push,Promotion,Sunt deleniti delectus non velit voluptatem sint.,2025-06-28 12:20:45,Delivered
NTF0000049,PTNCB386,WhatsApp,ReportReady,Nesciunt enim aspernatur ab aliquid labore facere inventore architecto tempora corrupti nam.,2025-09-10 22:32:46,Delivered
NTF0000050,PTNTN268,Email,PaymentDue,Culpa esse nesciunt ut nobis error odio mollitia inventore.,2026-01-18 09:52:00,Delivered
NTF0000051,PTNCB469,Email,PaymentDue,Laudantium et quas repellat vitae distinctio incidunt.,2026-03-14 22:51:42,Delivered
NTF0000052,PTNV039,Email,PaymentDue,Quia numquam ipsum occaecati ratione architecto eum est.,2025-09-22 23:42:52,Delivered
NTF0000053,PTNT382,SMS,PaymentDue,Minima esse distinctio tempore illo fuga labore soluta temporibus laudantium consectetur.,2026-01-28 21:26:41,Delivered
NTF0000054,PTNT093,SMS,VaccinationDue,Placeat nesciunt quo nobis perferendis quibusdam nihil excepturi optio suscipit voluptatem ex natus.,2026-02-20 09:47:20,Delivered
NTF0000055,PTNV386,WhatsApp,PaymentDue,Molestiae modi nisi ipsam dolorum ex mollitia nesciunt.,2025-09-14 03:42:56,Delivered
NTF0000056,PTNE446,Push,AppointmentReminder,Doloremque beatae sint voluptas maxime ab expedita veritatis eum.,2026-05-16 01:56:57,Delivered
NTF0000057,PTNS303,WhatsApp,FollowUp,Quo delectus labore natus magnam quia recusandae ducimus voluptatem rerum aut.,2025-07-08 15:21:42,Delivered
NTF0000058,PTNCB130,Email,AppointmentReminder,Atque rerum eligendi repellendus ut necessitatibus eveniet commodi dolor in impedit cupiditate praesentium.,2026-04-23 05:28:39,Delivered
NTF0000059,PTNT278,Email,VaccinationDue,Sed recusandae fugit autem officia blanditiis omnis possimus perferendis.,2025-07-10 23:46:04,Delivered
NTF0000060,PTNC177,Email,Promotion,Reiciendis quam enim deleniti quod minus eligendi praesentium mollitia neque debitis.,2026-02-21 17:09:33,Delivered
NTF0000061,PTNC387,WhatsApp,ReportReady,Quia voluptas perferendis excepturi quaerat eos.,2025-12-29 04:08:24,Delivered
NTF0000062,PTNTJ384,SMS,VaccinationDue,Adipisci commodi vero ducimus fugit perspiciatis at perspiciatis ipsam ab quod libero maxime.,2026-03-29 10:16:21,Delivered
NTF0000063,PTNM058,Push,Promotion,Voluptatum voluptas rerum pariatur blanditiis ut alias omnis culpa maxime.,2026-03-20 09:04:18,Delivered
NTF0000064,PTNC436,WhatsApp,Promotion,Quibusdam quod provident odit cumque nesciunt ducimus.,2025-12-15 10:45:52,Delivered
NTF0000065,PTNH493,Push,Promotion,Ex vero culpa nihil inventore temporibus error.,2025-09-19 15:15:36,Delivered
NTF0000066,PTNC053,Email,FollowUp,Eligendi asperiores quis voluptate nemo porro occaecati eius amet tempora placeat.,2026-04-27 10:38:34,Pending
NTF0000067,PTNE032,Push,ReportReady,Ipsum repellat dicta cum explicabo doloribus eveniet placeat molestiae.,2026-03-26 08:16:21,Delivered
NTF0000068,PTNT114,WhatsApp,AppointmentReminder,Occaecati necessitatibus nemo beatae est eligendi ipsam veniam.,2026-05-03 16:28:38,Delivered
NTF0000069,PTNTJ382,Push,PaymentDue,Consectetur aliquid praesentium modi sint atque explicabo asperiores blanditiis nihil sunt a nihil.,2026-05-21 00:38:23,Delivered
NTF0000070,PTNCB256,SMS,ReportReady,Vero veniam exercitationem laudantium necessitatibus distinctio.,2025-10-17 05:04:54,Failed
NTF0000071,PTNTN473,WhatsApp,FollowUp,Odio a quas aspernatur debitis libero culpa beatae omnis exercitationem facilis veritatis corporis accusamus.,2026-01-17 22:42:02,Delivered
NTF0000072,PTNTJ408,WhatsApp,PaymentDue,A incidunt accusamus maiores quos repudiandae similique odio pariatur consequuntur ipsum.,2026-01-09 13:52:15,Delivered
NTF0000073,PTNV400,WhatsApp,FollowUp,Soluta necessitatibus voluptatum aliquid facilis a culpa.,2026-03-24 06:45:11,Delivered
NTF0000074,PTNC085,WhatsApp,VaccinationDue,A commodi provident amet error hic rerum dicta accusantium impedit.,2025-09-15 10:34:29,Delivered
NTF0000075,PTNS177,Push,PaymentDue,Libero tempore fuga dignissimos ducimus voluptatem.,2025-08-10 23:03:18,Delivered
NTF0000076,PTNTN139,Push,VaccinationDue,Assumenda facere pariatur dolorum sed explicabo labore sapiente ducimus amet.,2025-11-20 18:58:08,Delivered
NTF0000077,PTNS371,Push,ReportReady,Aut rem ex nemo iusto illo quaerat dolor quaerat doloribus error.,2026-05-10 02:06:37,Delivered
NTF0000078,PTNTJ393,Email,PaymentDue,Nam libero voluptate impedit eaque ducimus natus sint error atque facilis sed tempore atque.,2026-01-15 16:54:52,Delivered
NTF0000079,PTNH299,Push,VaccinationDue,Sit est dolores tempora quos cumque fugit pariatur maxime non nam.,2025-10-05 11:04:50,Delivered
NTF0000080,PTNE255,WhatsApp,PaymentDue,Occaecati voluptatem aperiam illum ex quam.,2025-11-16 07:05:26,Pending
NTF0000081,PTNC214,SMS,FollowUp,Voluptates officia eum illo nihil id quaerat.,2026-01-12 14:18:04,Delivered
NTF0000082,PTNC116,Email,Promotion,Culpa deserunt beatae nam recusandae cumque dicta quis porro quo cumque optio rem.,2025-09-12 18:36:54,Delivered
NTF0000083,PTNM243,WhatsApp,PaymentDue,Sit delectus laboriosam praesentium ea velit.,2025-07-12 01:04:17,Delivered
NTF0000084,PTNTJ467,Push,VaccinationDue,Optio sunt ipsam placeat repudiandae nemo iste vel cumque recusandae quod.,2025-11-15 07:04:43,Delivered
NTF0000085,PTNE208,Email,FollowUp,Dolores fugit veniam hic eaque dignissimos.,2025-10-03 20:31:29,Delivered
NTF0000086,PTNE402,SMS,FollowUp,Temporibus distinctio sit ipsam laborum ratione assumenda iusto.,2026-05-05 17:46:55,Delivered
NTF0000087,PTNS387,SMS,VaccinationDue,Eos est ipsam quisquam soluta voluptate rem expedita cum culpa fuga eius.,2026-02-19 13:16:56,Delivered
NTF0000088,PTNM188,Push,VaccinationDue,Maxime doloremque consectetur porro reiciendis atque eius et ullam magnam esse numquam.,2026-01-22 02:30:04,Pending
NTF0000089,PTNS478,Email,Promotion,Accusantium laboriosam perferendis veniam accusantium aspernatur quas officiis consequuntur error molestiae magnam.,2025-11-12 14:42:04,Delivered
NTF0000090,PTNS168,WhatsApp,ReportReady,Perferendis provident vitae omnis facere sequi possimus quisquam.,2025-10-26 19:41:38,Delivered
NTF0000091,PTNS342,Email,PaymentDue,Officia maxime veritatis accusantium atque corrupti repellendus mollitia occaecati accusantium repudiandae tempora perferendis.,2026-02-19 13:26:30,Delivered
NTF0000092,PTNS386,SMS,PaymentDue,Inventore voluptatibus corporis veritatis dolores molestiae repellendus repellat saepe temporibus.,2025-07-16 09:23:21,Delivered
NTF0000093,PTNC172,Email,AppointmentReminder,Inventore et consectetur quod molestias praesentium eum exercitationem vitae.,2025-08-12 18:59:08,Failed
NTF0000094,PTNTN314,Email,VaccinationDue,Explicabo eligendi adipisci fugiat ea vitae cum animi.,2026-03-25 05:42:47,Delivered
